ID,trial,day,t_point,backg,loc,line_cross,shel_dur,sex,mass,mass_sc,trial_series,t_point_sc
1,1,08/09/2016,9,Dark,Inner,15,0,Male,1182.9,0.3892876116976006,1-1,-0.4423258684646914
1,1,08/09/2016,9,Light,Outer,14,0,Male,1182.9,0.3892876116976006,1-1,-0.4423258684646914
1,1,08/09/2016,9,Light,Inner,5,0,Male,1182.9,0.3892876116976006,1-1,-0.4423258684646914
1,1,08/09/2016,10,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,-0.29488391230979427
1,1,08/09/2016,10,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,-0.29488391230979427
1,1,08/09/2016,10,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,-0.29488391230979427
1,1,08/09/2016,10,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,-0.29488391230979427
1,1,08/09/2016,11,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,-0.14744195615489714
1,1,08/09/2016,11,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,-0.14744195615489714
1,1,08/09/2016,11,Light,Outer,8,0,Male,1182.9,0.3892876116976006,1-1,-0.14744195615489714
1,1,08/09/2016,11,Dark,Outer,17,0,Male,1182.9,0.3892876116976006,1-1,-0.14744195615489714
1,1,08/09/2016,12,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0
1,1,08/09/2016,12,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0
1,1,08/09/2016,12,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0
1,1,08/09/2016,12,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0
1,1,08/09/2016,13,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.14744195615489714
1,1,08/09/2016,13,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.14744195615489714
1,1,08/09/2016,13,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.14744195615489714
1,1,08/09/2016,13,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.14744195615489714
1,1,08/09/2016,14,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.29488391230979427
1,1,08/09/2016,14,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.29488391230979427
1,1,08/09/2016,14,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.29488391230979427
1,1,08/09/2016,14,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.29488391230979427
1,1,08/09/2016,15,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.4423258684646914
1,1,08/09/2016,15,Dark,Outer,3,0,Male,1182.9,0.3892876116976006,1-1,0.4423258684646914
1,1,08/09/2016,15,Dark,Inner,11,0,Male,1182.9,0.3892876116976006,1-1,0.4423258684646914
1,1,08/09/2016,15,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.4423258684646914
1,1,08/09/2016,16,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.5897678246195885
1,1,08/09/2016,16,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.5897678246195885
1,1,08/09/2016,16,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.5897678246195885
1,1,08/09/2016,16,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.5897678246195885
1,1,08/09/2016,17,Dark,Inner,2,0,Male,1182.9,0.3892876116976006,1-1,0.7372097807744856
1,1,08/09/2016,17,Dark,Outer,4,0,Male,1182.9,0.3892876116976006,1-1,0.7372097807744856
1,1,08/09/2016,17,Light,Outer,1,0,Male,1182.9,0.3892876116976006,1-1,0.7372097807744856
1,1,08/09/2016,17,Light,Inner,4,0,Male,1182.9,0.3892876116976006,1-1,0.7372097807744856
1,1,08/09/2016,18,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.8846517369293828
1,1,08/09/2016,18,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.8846517369293828
1,1,08/09/2016,18,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,0.8846517369293828
1,1,08/09/2016,18,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,0.8846517369293828
1,1,08/09/2016,19,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.03209369308428
1,1,08/09/2016,19,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.03209369308428
1,1,08/09/2016,19,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.03209369308428
1,1,08/09/2016,19,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.03209369308428
1,1,08/09/2016,20,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.179535649239177
1,1,08/09/2016,20,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.179535649239177
1,1,08/09/2016,20,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.179535649239177
1,1,08/09/2016,20,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.179535649239177
1,1,08/09/2016,21,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.3269776053940743
1,1,08/09/2016,21,Dark,Outer,1,0,Male,1182.9,0.3892876116976006,1-1,1.3269776053940743
1,1,08/09/2016,21,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.3269776053940743
1,1,08/09/2016,21,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.3269776053940743
1,1,08/09/2016,22,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.4744195615489712
1,1,08/09/2016,22,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.4744195615489712
1,1,08/09/2016,22,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.4744195615489712
1,1,08/09/2016,22,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-1,1.4744195615489712
1,1,08/09/2016,23,Light,Inner,3,0,Male,1182.9,0.3892876116976006,1-1,1.6218615177038684
1,1,08/09/2016,23,Dark,Outer,8,0,Male,1182.9,0.3892876116976006,1-1,1.6218615177038684
1,1,08/09/2016,23,Dark,Inner,11,0,Male,1182.9,0.3892876116976006,1-1,1.6218615177038684
1,1,08/09/2016,23,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-1,1.6218615177038684
1,2,9/6/2016,1,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-1.6218615177038684
1,2,9/6/2016,1,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-1.6218615177038684
1,2,9/6/2016,1,Light,Outer,81,0,Male,1182.9,0.3892876116976006,1-2,-1.6218615177038684
1,2,9/6/2016,1,Light,Inner,5,0,Male,1182.9,0.3892876116976006,1-2,-1.6218615177038684
1,2,9/6/2016,2,Light,Outer,28,1.6,Male,1182.9,0.3892876116976006,1-2,-1.4744195615489712
1,2,9/6/2016,2,Light,Inner,5,0,Male,1182.9,0.3892876116976006,1-2,-1.4744195615489712
1,2,9/6/2016,2,Dark,Outer,9,0,Male,1182.9,0.3892876116976006,1-2,-1.4744195615489712
1,2,9/6/2016,2,Dark,Inner,2,4.7,Male,1182.9,0.3892876116976006,1-2,-1.4744195615489712
1,2,9/6/2016,3,Dark,Outer,2,0,Male,1182.9,0.3892876116976006,1-2,-1.3269776053940743
1,2,9/6/2016,3,Dark,Inner,10,0,Male,1182.9,0.3892876116976006,1-2,-1.3269776053940743
1,2,9/6/2016,3,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-1.3269776053940743
1,2,9/6/2016,3,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-1.3269776053940743
1,2,9/6/2016,4,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-1.179535649239177
1,2,9/6/2016,4,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-1.179535649239177
1,2,9/6/2016,4,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-1.179535649239177
1,2,9/6/2016,4,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-1.179535649239177
1,2,9/6/2016,5,Dark,Outer,10,0,Male,1182.9,0.3892876116976006,1-2,-1.03209369308428
1,2,9/6/2016,5,Dark,Inner,13,0,Male,1182.9,0.3892876116976006,1-2,-1.03209369308428
1,2,9/6/2016,5,Light,Outer,31,0,Male,1182.9,0.3892876116976006,1-2,-1.03209369308428
1,2,9/6/2016,5,Light,Inner,7,0,Male,1182.9,0.3892876116976006,1-2,-1.03209369308428
1,2,9/6/2016,6,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.8846517369293828
1,2,9/6/2016,6,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.8846517369293828
1,2,9/6/2016,6,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.8846517369293828
1,2,9/6/2016,6,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.8846517369293828
1,2,9/6/2016,7,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.7372097807744856
1,2,9/6/2016,7,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.7372097807744856
1,2,9/6/2016,7,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.7372097807744856
1,2,9/6/2016,7,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.7372097807744856
1,2,9/6/2016,8,Dark,Outer,11,0,Male,1182.9,0.3892876116976006,1-2,-0.5897678246195885
1,2,9/6/2016,8,Light,Outer,44,0,Male,1182.9,0.3892876116976006,1-2,-0.5897678246195885
1,2,9/6/2016,8,Light,Inner,8,0,Male,1182.9,0.3892876116976006,1-2,-0.5897678246195885
1,2,9/6/2016,8,Dark,Inner,3,0,Male,1182.9,0.3892876116976006,1-2,-0.5897678246195885
1,2,9/6/2016,9,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.4423258684646914
1,2,9/6/2016,9,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.4423258684646914
1,2,9/6/2016,9,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.4423258684646914
1,2,9/6/2016,9,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.4423258684646914
1,2,9/6/2016,10,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.29488391230979427
1,2,9/6/2016,10,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.29488391230979427
1,2,9/6/2016,10,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.29488391230979427
1,2,9/6/2016,10,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.29488391230979427
1,2,9/6/2016,11,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.14744195615489714
1,2,9/6/2016,11,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.14744195615489714
1,2,9/6/2016,11,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,-0.14744195615489714
1,2,9/6/2016,11,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,-0.14744195615489714
1,2,9/6/2016,12,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0
1,2,9/6/2016,12,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0
1,2,9/6/2016,12,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0
1,2,9/6/2016,12,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0
1,2,9/6/2016,13,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.14744195615489714
1,2,9/6/2016,13,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.14744195615489714
1,2,9/6/2016,13,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.14744195615489714
1,2,9/6/2016,13,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.14744195615489714
1,2,9/6/2016,14,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.29488391230979427
1,2,9/6/2016,14,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.29488391230979427
1,2,9/6/2016,14,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.29488391230979427
1,2,9/6/2016,14,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.29488391230979427
1,2,9/6/2016,15,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.4423258684646914
1,2,9/6/2016,15,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.4423258684646914
1,2,9/6/2016,15,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.4423258684646914
1,2,9/6/2016,15,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.4423258684646914
1,2,9/6/2016,16,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.5897678246195885
1,2,9/6/2016,16,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.5897678246195885
1,2,9/6/2016,16,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,0.5897678246195885
1,2,9/6/2016,16,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.5897678246195885
1,2,9/6/2016,17,Dark,Outer,34,0,Male,1182.9,0.3892876116976006,1-2,0.7372097807744856
1,2,9/6/2016,17,Light,Outer,11,0,Male,1182.9,0.3892876116976006,1-2,0.7372097807744856
1,2,9/6/2016,17,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.7372097807744856
1,2,9/6/2016,17,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,0.7372097807744856
1,2,9/6/2016,18,Dark,Outer,3,0,Male,1182.9,0.3892876116976006,1-2,0.8846517369293828
1,2,9/6/2016,18,Dark,Inner,7,0,Male,1182.9,0.3892876116976006,1-2,0.8846517369293828
1,2,9/6/2016,18,Light,Outer,10,0,Male,1182.9,0.3892876116976006,1-2,0.8846517369293828
1,2,9/6/2016,18,Light,Inner,3,0,Male,1182.9,0.3892876116976006,1-2,0.8846517369293828
1,2,9/6/2016,19,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.03209369308428
1,2,9/6/2016,19,Light,Outer,14,0,Male,1182.9,0.3892876116976006,1-2,1.03209369308428
1,2,9/6/2016,19,Dark,Inner,42,0,Male,1182.9,0.3892876116976006,1-2,1.03209369308428
1,2,9/6/2016,19,Dark,Outer,75,0,Male,1182.9,0.3892876116976006,1-2,1.03209369308428
1,2,9/6/2016,20,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.179535649239177
1,2,9/6/2016,20,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.179535649239177
1,2,9/6/2016,20,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.179535649239177
1,2,9/6/2016,20,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.179535649239177
1,2,9/6/2016,21,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.3269776053940743
1,2,9/6/2016,21,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.3269776053940743
1,2,9/6/2016,21,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.3269776053940743
1,2,9/6/2016,21,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.3269776053940743
1,2,9/6/2016,22,Light,Inner,1,0,Male,1182.9,0.3892876116976006,1-2,1.4744195615489712
1,2,9/6/2016,22,Dark,Inner,5,0,Male,1182.9,0.3892876116976006,1-2,1.4744195615489712
1,2,9/6/2016,22,Dark,Outer,11,0,Male,1182.9,0.3892876116976006,1-2,1.4744195615489712
1,2,9/6/2016,22,Light,Outer,19,0,Male,1182.9,0.3892876116976006,1-2,1.4744195615489712
1,2,9/6/2016,23,Dark,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.6218615177038684
1,2,9/6/2016,23,Dark,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.6218615177038684
1,2,9/6/2016,23,Light,Outer,0,0,Male,1182.9,0.3892876116976006,1-2,1.6218615177038684
1,2,9/6/2016,23,Light,Inner,0,0,Male,1182.9,0.3892876116976006,1-2,1.6218615177038684
2,1,8/29/2016,1,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.6218615177038684
2,1,8/29/2016,1,Dark,Outer,2,0,Male,1096.5,-0.42098580797651974,2-1,-1.6218615177038684
2,1,8/29/2016,1,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.6218615177038684
2,1,8/29/2016,1,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.6218615177038684
2,1,8/29/2016,2,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.4744195615489712
2,1,8/29/2016,2,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.4744195615489712
2,1,8/29/2016,2,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.4744195615489712
2,1,8/29/2016,2,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.4744195615489712
2,1,8/29/2016,3,Light,Outer,11,0,Male,1096.5,-0.42098580797651974,2-1,-1.3269776053940743
2,1,8/29/2016,3,Dark,Outer,15,0,Male,1096.5,-0.42098580797651974,2-1,-1.3269776053940743
2,1,8/29/2016,3,Light,Inner,8,0,Male,1096.5,-0.42098580797651974,2-1,-1.3269776053940743
2,1,8/29/2016,3,Dark,Inner,15,0,Male,1096.5,-0.42098580797651974,2-1,-1.3269776053940743
2,1,8/29/2016,4,Light,Outer,11,0,Male,1096.5,-0.42098580797651974,2-1,-1.179535649239177
2,1,8/29/2016,4,Dark,Inner,7,0,Male,1096.5,-0.42098580797651974,2-1,-1.179535649239177
2,1,8/29/2016,4,Dark,Outer,24,0,Male,1096.5,-0.42098580797651974,2-1,-1.179535649239177
2,1,8/29/2016,4,Light,Inner,6,0,Male,1096.5,-0.42098580797651974,2-1,-1.179535649239177
2,1,8/29/2016,5,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.03209369308428
2,1,8/29/2016,5,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.03209369308428
2,1,8/29/2016,5,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.03209369308428
2,1,8/29/2016,5,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-1.03209369308428
2,1,8/29/2016,6,Light,Inner,3,0,Male,1096.5,-0.42098580797651974,2-1,-0.8846517369293828
2,1,8/29/2016,6,Light,Outer,3,0,Male,1096.5,-0.42098580797651974,2-1,-0.8846517369293828
2,1,8/29/2016,6,Dark,Inner,4,21.7,Male,1096.5,-0.42098580797651974,2-1,-0.8846517369293828
2,1,8/29/2016,6,Dark,Outer,3,0,Male,1096.5,-0.42098580797651974,2-1,-0.8846517369293828
2,1,8/29/2016,7,Dark,Inner,12,0,Male,1096.5,-0.42098580797651974,2-1,-0.7372097807744856
2,1,8/29/2016,7,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.7372097807744856
2,1,8/29/2016,7,Dark,Outer,8,0,Male,1096.5,-0.42098580797651974,2-1,-0.7372097807744856
2,1,8/29/2016,7,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.7372097807744856
2,1,8/29/2016,8,Light,Outer,2,0,Male,1096.5,-0.42098580797651974,2-1,-0.5897678246195885
2,1,8/29/2016,8,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.5897678246195885
2,1,8/29/2016,8,Dark,Inner,8,0,Male,1096.5,-0.42098580797651974,2-1,-0.5897678246195885
2,1,8/29/2016,8,Dark,Outer,15,6.4,Male,1096.5,-0.42098580797651974,2-1,-0.5897678246195885
2,1,8/29/2016,9,Dark,Inner,3,0,Male,1096.5,-0.42098580797651974,2-1,-0.4423258684646914
2,1,8/29/2016,9,Dark,Outer,6,0,Male,1096.5,-0.42098580797651974,2-1,-0.4423258684646914
2,1,8/29/2016,9,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.4423258684646914
2,1,8/29/2016,9,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.4423258684646914
2,1,8/29/2016,10,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.29488391230979427
2,1,8/29/2016,10,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.29488391230979427
2,1,8/29/2016,10,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.29488391230979427
2,1,8/29/2016,10,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.29488391230979427
2,1,8/29/2016,11,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.14744195615489714
2,1,8/29/2016,11,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.14744195615489714
2,1,8/29/2016,11,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.14744195615489714
2,1,8/29/2016,11,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,-0.14744195615489714
2,1,8/29/2016,12,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,0
2,1,8/29/2016,12,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,0
2,1,8/29/2016,12,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-1,0
2,1,8/29/2016,12,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-1,0
2,1,8/29/2016,13,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.14744195615489714
2,1,8/29/2016,14,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.29488391230979427
2,1,8/29/2016,15,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.4423258684646914
2,1,8/29/2016,16,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.5897678246195885
2,1,8/29/2016,17,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.7372097807744856
2,1,8/29/2016,18,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,0.8846517369293828
2,1,8/29/2016,19,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,1.03209369308428
2,1,8/29/2016,20,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,1.179535649239177
2,1,8/29/2016,21,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,1.3269776053940743
2,1,8/29/2016,22,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,1.4744195615489712
2,1,8/29/2016,23,Dark,Outer,0,60,Male,1096.5,-0.42098580797651974,2-1,1.6218615177038684
2,2,9/26/2016,13,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-2,0.14744195615489714
2,2,9/26/2016,13,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-2,0.14744195615489714
2,2,9/26/2016,13,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-2,0.14744195615489714
2,2,9/26/2016,13,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-2,0.14744195615489714
2,2,9/26/2016,14,Light,Inner,0,0,Male,1096.5,-0.42098580797651974,2-2,0.29488391230979427
2,2,9/26/2016,14,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-2,0.29488391230979427
2,2,9/26/2016,14,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-2,0.29488391230979427
2,2,9/26/2016,14,Dark,Outer,0,0,Male,1096.5,-0.42098580797651974,2-2,0.29488391230979427
2,2,9/26/2016,15,Light,Outer,0,0,Male,1096.5,-0.42098580797651974,2-2,0.4423258684646914
2,2,9/26/2016,15,Dark,Inner,0,0,Male,1096.5,-0.42098580797651974,2-2,0.4423258684646914
